Date,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,VIX_Close,USDINR_Close
2025-06-24,25179.900390625,25317.69921875,24999.69921875,25044.349609375,450200.0,13.640000343322754,86.23300170898438
2025-06-25,25150.349609375,25266.80078125,25125.05078125,25244.75,260600.0,12.960000038146973,85.90480041503906
2025-06-26,25268.94921875,25565.30078125,25259.900390625,25549.0,428900.0,12.59000015258789,86.006103515625
2025-06-27,25576.650390625,25654.19921875,25523.55078125,25637.80078125,564000.0,12.390000343322754,85.66639709472656
2025-06-30,25661.650390625,25669.349609375,25473.30078125,25517.05078125,271000.0,12.789999961853027,85.4552993774414
2025-07-01,25551.349609375,25593.400390625,25501.80078125,25541.80078125,260700.0,12.529999732971191,85.71399688720703
2025-07-02,25588.30078125,25608.099609375,25378.75,25453.400390625,309800.0,12.449999809265137,85.6427993774414
2025-07-03,25505.099609375,25587.5,25384.349609375,25405.30078125,293400.0,12.390000343322754,85.69409942626953
2025-07-04,25428.849609375,25470.25,25331.650390625,25461.0,193500.0,12.319999694824219,85.31909942626953
2025-07-07,25450.44921875,25489.80078125,25407.25,25461.30078125,196100.0,12.5600004196167,85.49629974365234
2025-07-08,25427.849609375,25548.05078125,25424.150390625,25522.5,210400.0,12.199999809265137,85.89199829101562
2025-07-09,25514.599609375,25548.69921875,25424.349609375,25476.099609375,239100.0,11.9399995803833,85.7073974609375
2025-07-10,25511.650390625,25524.05078125,25340.44921875,25355.25,219600.0,11.670000076293945,85.70850372314453
2025-07-11,25255.5,25322.44921875,25129.0,25149.849609375,250000.0,11.819999694824219,85.73480224609375
2025-07-14,25149.5,25151.099609375,25001.94921875,25082.30078125,259500.0,11.979999542236328,85.82129669189453
2025-07-15,25089.5,25245.19921875,25088.44921875,25195.80078125,241300.0,11.479999542236328,85.96839904785156
2025-07-16,25196.599609375,25255.30078125,25121.05078125,25212.05078125,228800.0,11.239999771118164,85.99310302734375
2025-07-17,25230.75,25238.349609375,25101.0,25111.44921875,243400.0,11.239999771118164,85.88520050048828
2025-07-18,25108.55078125,25144.599609375,24918.650390625,24968.400390625,317000.0,11.390000343322754,86.04650115966797
2025-07-21,24999.0,25111.400390625,24882.30078125,25090.69921875,305200.0,11.199999809265137,86.14859771728516
